name,id,tags,tech/manufacturer,rarity,base price,stack size,cargo space,baseRaidDanger,icon,sound id,sound id drop,plugin,plugin params,desc,order,limbGroupId,namePrefix,colorDisplay,brmCost,consciousnessCost,dropChance,conflictedBionicIdList,isApplyCaptainEffect,isApplyAdminEffect,isAICoreBionic,isAllowedRemoveAfterInstall,isEffectAppliedAfterRemove,effectScript
#tier 1 (Civilian),,,,,,,,,,,,,,,,,,,,,,,,,,,,
Serenity Neural Interface,ba_prosthetic_brain_serenity,"ba_bionic_t1, ba_bionic_serenity",Civil Prosthetic,1,100,1000,1,,graphics/cargo/ba_bionic_base_i.png,ui_cargo_special_biotech_pickup,ui_cargo_special_bio_drop,pigeonpun.bionicalteration.bionic.ba_bionicitemplugin,,"A revolutionary neural interface that seamlessly integrates with the user's brain, providing enhanced cognitive capabilities and direct communication with compatible technologies.",1000,brain_group,I,"[25,200,25]",5,0.05,0.1,,TRUE,FALSE,FALSE,TRUE,FALSE,pigeonpun.bionicalteration.bionic.impl.serenity.ba_serenity_brain_effect
Serenity Ocular Implants,ba_prosthetic_eye_serenity,"ba_bionic_t1, ba_bionic_serenity",Civil Prosthetic,1,110,1000,1,,graphics/cargo/ba_bionic_base_i.png,ui_cargo_special_biotech_pickup,ui_cargo_special_bio_drop,pigeonpun.bionicalteration.bionic.ba_bionicitemplugin,,"Ocular implants designed to enhance visual acuity and provide augmented reality overlays. It offers customizable display options, from reading assistance to dynamic information about the surrounding environment.",1000,eye_group,I,"[25,200,25]",3,0.03,0.1,,TRUE,FALSE,FALSE,TRUE,FALSE,pigeonpun.bionicalteration.bionic.impl.serenity.ba_serenity_eye_effect
Serenity Adaptation Module,ba_prosthetic_heart_serenity,"ba_bionic_t1, ba_bionic_serenity",Civil Prosthetic,1,120,1000,1,,graphics/cargo/ba_bionic_base_i.png,ui_cargo_special_biotech_pickup,ui_cargo_special_bio_drop,pigeonpun.bionicalteration.bionic.ba_bionicitemplugin,,"Implants that enable users to adapt to different environmental conditions effortlessly. From extreme temperatures to varying atmospheric pressures, Serenity ensures users remain comfortable in any habitat.",1000,heart_group,I,"[25,200,25]",4,0.04,0.1,,FALSE,TRUE,FALSE,TRUE,FALSE,pigeonpun.bionicalteration.bionic.impl.serenity.ba_serenity_heart_effect
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Harmony Digestive Processor,ba_prosthetic_torso_harmony,"ba_bionic_t1, ba_bionic_harmony",Civil Prosthetic,1,100,1000,1,,graphics/cargo/ba_bionic_base_i.png,ui_cargo_special_biotech_pickup,ui_cargo_special_bio_drop,pigeonpun.bionicalteration.bionic.ba_bionicitemplugin,,"For individuals with digestive challenges, the Harmony assists in breaking down nutrients more efficiently. The implant regulates digestive enzymes, ensuring optimal nutrient absorption and minimizing discomfort.",1000,torso_group,I,"[150,150,25]",3,0.04,0.1,,TRUE,FALSE,FALSE,TRUE,FALSE,pigeonpun.bionicalteration.bionic.impl.harmony.ba_harmony_torso_effect
Harmony Biometric Monitor,ba_prosthetic_heart_harmony,"ba_bionic_t1, ba_bionic_harmony",Civil Prosthetic,1,120,1000,1,,graphics/cargo/ba_bionic_base_i.png,ui_cargo_special_biotech_pickup,ui_cargo_special_bio_drop,pigeonpun.bionicalteration.bionic.ba_bionicitemplugin,,"A bionic heart implant that monitors and regulates the user's cardiovascular system. Harmony heart implant promotes overall well-being by adjusting heart rate, blood pressure, and oxygen levels based on the individual's activity and health status.",1000,heart_group,I,"[150,150,25]",3,0.04,0.1,,TRUE,FALSE,FALSE,TRUE,FALSE,pigeonpun.bionicalteration.bionic.impl.harmony.ba_harmony_heart_effect
Harmony Leg Prosthesis,ba_prosthetic_leg_harmony,"ba_bionic_t1, ba_bionic_harmony",Civil Prosthetic,1,70,1000,1,,graphics/cargo/ba_bionic_base_i.png,ui_cargo_special_biotech_pickup,ui_cargo_special_bio_drop,pigeonpun.bionicalteration.bionic.ba_bionicitemplugin,,"A state-of-the-art prosthetic limb designed for maximum comfort and natural movement. It utilizes advanced materials and sensors to provide a seamless and adaptive experience, allowing users to regain a full range of motion.",1000,leg_group,I,"[150,150,25]",1,0.03,0.1,,TRUE,FALSE,FALSE,TRUE,FALSE,pigeonpun.bionicalteration.bionic.impl.harmony.ba_harmony_leg_effect
Harmony Hand Prosthesis,ba_prosthetic_hand_harmony,"ba_bionic_t1, ba_bionic_harmony",Civil Prosthetic,1,70,1000,1,,graphics/cargo/ba_bionic_base_i.png,ui_cargo_special_biotech_pickup,ui_cargo_special_bio_drop,pigeonpun.bionicalteration.bionic.ba_bionicitemplugin,,"A state-of-the-art prosthetic limb designed for maximum comfort and natural movement. It utilizes advanced materials and sensors to provide a seamless and adaptive experience, allowing users to regain a full range of motion.",1000,hand_group,I,"[150,150,25]",1,0.03,0.1,,TRUE,FALSE,FALSE,TRUE,FALSE,pigeonpun.bionicalteration.bionic.impl.harmony.ba_harmony_hand_effect
Harmony Cognitive Enhancer,ba_prosthetic_brain_harmony,"ba_bionic_t1, ba_bionic_harmony",Civil Prosthetic,1,80,1000,1,,graphics/cargo/ba_bionic_base_i.png,ui_cargo_special_biotech_pickup,ui_cargo_special_bio_drop,pigeonpun.bionicalteration.bionic.ba_bionicitemplugin,,"A non-invasive neural interface designed to enhance cognitive functions for everyday use. It assists users in memory retention, multitasking, and problem-solving without sacrificing the natural thought process.",1000,brain_group,I,"[150,150,25]",5,0.05,0.1,,FALSE,TRUE,FALSE,TRUE,FALSE,pigeonpun.bionicalteration.bionic.impl.harmony.ba_harmony_brain_effect
